zone_key,emission_factor_type,production_mode,datetime,value,source
CM,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CN,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CO,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CR,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CU,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CV,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
DJ,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
DM,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
DO,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
DZ,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
EC,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
EG,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
EH,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
ER,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
ES-CE,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
ES-ML,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
ET,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
FJ,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
FK,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
FM,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GA,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GB-NIR,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GB-ORK,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GB-ZET,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GB,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GE,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GF,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GH,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GI,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GL,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GM,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GN,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GP,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GQ,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GS,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GT,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GU,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GW,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
GY,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
HK,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
HM,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
HN,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
HT,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
ID,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
IL,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
IM,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
IN-AN,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
IN-DL,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
